Id,K-Shell
1.00006459629042E+018,3
1.41137747963428E+018,24
1.44544481314322E+018,24
1.74351318960039E+018,24
1.00036062011243E+018,29
1.14708034506769E+018,29
1.23456859978594E+018,21
1.2696477733072E+018,29
1.30145524792837E+018,29
1.36051569643481E+018,29
1.46824050019286E+018,29
1.61746562211113E+018,29
1.62416975353836E+018,24
1.64547370096198E+018,13
1.65374449977909E+018,29
1.65622899822819E+018,12
1.65921284171775E+018,29
1.67072783195176E+018,16
1.68340886925762E+018,6
1.69108259554981E+018,26
1.69219529891788E+018,6
1.69475847980888E+018,16
1.69517327288576E+018,26
1.69532162891203E+018,29
1.70221775005416E+018,29
1.70401028380975E+018,22
1719684732,16
1.79227606851619E+018,29
1852566217,22
2184707526,29
2221999644,29
2222645863,28
2238937418,29
2723935129,29
3244928586,25
3390890626,29
3554230816,29
4593859049,14
47546320,17
7.197919762128E+017,20
7.23965884398731E+017,29
7.48971580584256E+017,26
7.51636138151055E+017,24
7.71628634964537E+017,29
7.89562063089725E+017,26
8.03339766313976E+017,23
8.57977336808997E+017,29
8.6113856800931E+017,29
8.62242937156977E+017,26
8.68736088755454E+017,29
8.70292251389383E+017,29
9.20253589708083E+017,29
9.31938860963062E+017,29
9.48936333598237E+017,7
9.5429856518205E+017,29
9.66733612082172E+017,28
1.00106597125408E+018,10
1.75047874713063E+018,19
1.00114466517588E+018,12
1.17650643580031E+018,24
1.24914636058411E+018,24
1.36973543231818E+018,24
1.40822973971063E+018,11
1.49619749859507E+018,24
1.55054599177834E+018,24
1.72039900051841E+018,23
1.75494506858936E+018,24
2377612094,24
25033880,24
2804605933,24
7.46767750635356E+017,13
9.45886639603311E+017,24
9.97171000407044E+017,8
1.00122209303448E+018,11
1.5556479432769E+018,8
1.00179591818052E+018,1
1.00187729873439E+018,3
1.57322192492637E+018,23
2265794169,24
3301947536,12
1.00193138629351E+018,1
1.00198618295411E+018,1
1.32616551568604E+018,1
1.00214955297411E+018,19
1.52304017753452E+018,23
1.64317483110862E+018,22
171200086,16
1.75011042629616E+018,11
8.96665728463639E+017,24
9.91910028213973E+017,18
1.00250906580376E+018,1
1.81287278345131E+018,3
1.00341514182687E+018,1
2502068521,2
1.00363067310046E+018,2
1.25187868034479E+018,12
1.52581608742998E+018,2
1.52748096730839E+018,1
1.58156874647222E+018,1
1.66503875976141E+018,2
1.7991792320498E+018,2
1.00392586287661E+018,1
1.70921102307122E+018,24
1.00425034046681E+018,1
1.80153768936933E+018,1
1.0043730723869E+018,1
7.30244724095754E+017,24
1.0044233093316E+018,1
2383680417,4
1.00451926369107E+018,2
1.3419989312413E+018,2
1.57088425055511E+018,24
1.0047422679015E+018,10
1.43853924613083E+018,24
1.80873923762764E+018,14
8.42133314785829E+017,18
9.47844496225645E+017,26
1.00482077077685E+018,1
1.59827264387405E+018,2
1.00501338491014E+018,25
1454945126,29
1.54875526138026E+018,26
1.69879016044224E+018,27
1720181876,26
2318855006,22
2364228536,14
2590446609,26
7.18535900402098E+017,2
7.48241134040777E+017,16
7.67295992723112E+017,29
7.98980880039428E+017,17
8.41616996550685E+017,21
8.52104627566899E+017,29
1.00518580317211E+018,2
7.28252911675945E+017,7
1.00539778702079E+018,1
1.00551117841039E+018,1
2557069540,3
1.00559141104201E+018,24
1.06565830488455E+018,16
1.06571738351434E+018,24
1080647556,24
1.08269933126061E+018,24
1.09015804002696E+018,24
1.21230631034925E+018,4
1.26644391898126E+018,23
1.28532445476419E+018,19
1373720898,24
1.46133947171937E+018,20
1.47814715885979E+018,24
1.52374620872397E+018,24
1.52470083134537E+018,16
1.52505131580154E+018,23
1.5595081901104E+018,24
1.56830375311514E+018,24
1.57345210981466E+018,24
1.57361786244656E+018,24
1.57375508329631E+018,23
1.57411449086986E+018,24
1.5831292681539E+018,2
1.60018138122051E+018,20
1.61390398303003E+018,24
1.63837258046469E+018,24
1.63973349161196E+018,24
1.64535736929815E+018,24
1.6566245023971E+018,24
1.70721741108093E+018,23
1.7410697665115E+018,21
1.76353509227669E+018,23
1.76436305187086E+018,23
1.80810616322705E+018,24
1.81076578784787E+018,24
18336608,24
2572902906,24
3122109020,24
38220732,21
410718052,5
4420207816,24
477934944,18
50635701,24
7.40550489490743E+017,13
8.14864263189844E+017,24
8.74330245037527E+017,24
8.76905949872751E+017,24
8.78301870468608E+017,22
8.93757772025799E+017,24
9.20590762294817E+017,21
9.47914487692235E+017,12
9.93539066363826E+017,24
9.94276795192087E+017,24
1.00571696307788E+018,1
